Attach_Nodes,Alpha_Node,Total_Support
"NOS2,NOS3",CDK5,0.0
"NOS2,NOS3",GRIA2,0.0
"NOS2,NOS3",NFKB1,183.0
"NOS2,NOS3",RELA,181.0
"NOS2,NOS3",FOSL2,56.0
"NOS2,NOS3",FOXA2,10.0
"NOS2,NOS3",PDX1,11.0
"NOS2,NOS3",CAT,0.0
"NOS2,NOS3",FOXO1,30.0
"NOS2,NOS3",FBP1,0.0
"NOS2,NOS3",FBP2,0.0
"NOS2,NOS3",ATG12,0.0
"NOS2,NOS3",ATM,0.0
"NOS2,NOS3",BCL6,0.0
"NOS2,NOS3",CCNB1,0.0
"NOS2,NOS3",CCNB2,0.0
"NOS2,NOS3",CCNB3,0.0
"NOS2,NOS3",CCNG2,0.0
"NOS2,NOS3",CDKN2D,0.0
"NOS2,NOS3",FBXO25,0.0
"NOS2,NOS3",FBXO32,0.0
"NOS2,NOS3",GABARAP,0.0
"NOS2,NOS3",GABARAPL1,0.0
"NOS2,NOS3",GABARAPL2,0.0
"NOS2,NOS3",GADD45A,0.0
"NOS2,NOS3",GADD45B,0.0
"NOS2,NOS3",GADD45G,0.0
"NOS2,NOS3",IL7R,0.0
"NOS2,NOS3",PLK1,0.0
"NOS2,NOS3",PLK2,0.0
"NOS2,NOS3",PLK3,0.0
"NOS2,NOS3",PLK4,0.0
"NOS2,NOS3",RAG1,0.0
"NOS2,NOS3",RAG2,0.0
"NOS2,NOS3",RBL2,32.0
"NOS2,NOS3",S1PR1,0.0
"NOS2,NOS3",S1PR4,0.0
"NOS2,NOS3",TNFSF10,0.0
"NOS2,NOS3",ATG5,0.0
"NOS2,NOS3",FOXO3,40.0
"NOS2,NOS3",GALT,0.0
"NOS2,NOS3",FOXO4,30.0
"NOS2,NOS3",FOXO6,30.0
"NOS2,NOS3",MAF,3.0
"NOS2,NOS3",GATA4,2.0
"NOS2,NOS3",TRAF3IP2,0.0
"NOS2,NOS3",GCM1,1.0
"NOS2,NOS3",GCM2,1.0
"NOS2,NOS3",GLI1,31.0
"NOS2,NOS3",BMP2,0.0
"NOS2,NOS3",BMP4,0.0
"NOS2,NOS3",BMP5,0.0
"NOS2,NOS3",BMP6,0.0
"NOS2,NOS3",BMP7,0.0
"NOS2,NOS3",BMP8A,0.0
"NOS2,NOS3",BMP8B,0.0
"NOS2,NOS3",GLI2,31.0
"NOS2,NOS3",GLI3,31.0
"NOS2,NOS3",HHIP,0.0
"NOS2,NOS3",PTCH1,0.0
"NOS2,NOS3",PTCH2,0.0
"NOS2,NOS3",WNT1,0.0
"NOS2,NOS3",WNT10A,0.0
"NOS2,NOS3",WNT10B,0.0
"NOS2,NOS3",WNT11,0.0
"NOS2,NOS3",WNT16,0.0
"NOS2,NOS3",WNT2,0.0
"NOS2,NOS3",WNT2B,0.0
"NOS2,NOS3",WNT3,0.0
"NOS2,NOS3",WNT3A,0.0
"NOS2,NOS3",WNT4,0.0
"NOS2,NOS3",WNT5A,0.0
"NOS2,NOS3",WNT5B,0.0
"NOS2,NOS3",WNT6,0.0
"NOS2,NOS3",WNT7A,0.0
"NOS2,NOS3",WNT7B,0.0
"NOS2,NOS3",WNT8A,0.0
"NOS2,NOS3",WNT8B,0.0
"NOS2,NOS3",WNT9A,0.0
"NOS2,NOS3",WNT9B,0.0
"NOS2,NOS3",GNAI1,-2.0
"NOS2,NOS3",GNAI2,-2.0
"NOS2,NOS3",GNAI3,-2.0
"NOS2,NOS3",GNAO1,-2.0
"NOS2,NOS3",HDAC1,-84.0
"NOS2,NOS3",HDAC4,36.0
"NOS2,NOS3",MEF2A,31.0
"NOS2,NOS3",MEF2B,30.0
"NOS2,NOS3",MEF2C,31.0
"NOS2,NOS3",MEF2D,31.0
"NOS2,NOS3",HDAC5,36.0
"NOS2,NOS3",HES1,119.0
"NOS2,NOS3",ERBB2,0.0
"NOS2,NOS3",NFKB2,85.0
"NOS2,NOS3",HES5,119.0
"NOS2,NOS3",HEY1,119.0
"NOS2,NOS3",HEY2,119.0
"NOS2,NOS3",HEYL,119.0
"NOS2,NOS3",HIF1A,46.0
"NOS2,NOS3",PFKP,0.0
"NOS2,NOS3",PFKM,0.0
"NOS2,NOS3",PGAM1,0.0
"NOS2,NOS3",PGAM2,0.0
"NOS2,NOS3",PGAM4,0.0
"NOS2,NOS3",PKM,0.0
"NOS2,NOS3",HLA-A,-1.0
"NOS2,NOS3",HLA-B,-1.0
"NOS2,NOS3",HLA-C,-1.0
"NOS2,NOS3",HLA-E,-1.0
"NOS2,NOS3",HLA-F,-1.0
"NOS2,NOS3",HLA-G,-1.0
"NOS2,NOS3",HNF1A,10.0
"NOS2,NOS3",FOXA3,0.0
"NOS2,NOS3",HNF4A,3.0
"NOS2,NOS3",HNF4G,0.0
"NOS2,NOS3",PKLR,0.0
"NOS2,NOS3",SLC2A2,0.0
"NOS2,NOS3",HSF1,6.0
"NOS2,NOS3",IDO1,0.0
"NOS2,NOS3",IDO2,0.0
"NOS2,NOS3",IFNGR1,1.0
"NOS2,NOS3",MARCKSL1,0.0
"NOS2,NOS3",IFNGR2,1.0
"NOS2,NOS3",IL18R1,0.0
"NOS2,NOS3",IL18RAP,0.0
"NOS2,NOS3",IL6R,1.0
"NOS2,NOS3",SOCS3,0.0
"NOS2,NOS3",INSR,1.0
"NOS2,NOS3",PNPLA2,0.0
"NOS2,NOS3",IRF1,-1.0
"NOS2,NOS3",IRF3,44.0
"NOS2,NOS3",CD80,0.0
"NOS2,NOS3",CD86,0.0
"NOS2,NOS3",CXCL11,0.0
"NOS2,NOS3",CXCL9,0.0
"NOS2,NOS3",IFNA1,0.0
"NOS2,NOS3",IFNA10,0.0
"NOS2,NOS3",IFNA13,0.0
"NOS2,NOS3",IFNA14,0.0
"NOS2,NOS3",IFNA16,0.0
"NOS2,NOS3",IFNA17,0.0
"NOS2,NOS3",IFNA2,0.0
"NOS2,NOS3",IFNA21,0.0
"NOS2,NOS3",IFNA4,0.0
"NOS2,NOS3",IFNA5,0.0
"NOS2,NOS3",IFNA6,0.0
"NOS2,NOS3",IFNA7,0.0
"NOS2,NOS3",IFNA8,0.0
"NOS2,NOS3",IFNE,0.0
"NOS2,NOS3",IFNK,0.0
"NOS2,NOS3",IFNW1,0.0
"NOS2,NOS3",IFIT1,0.0
"NOS2,NOS3",IFIT1B,0.0
"NOS2,NOS3",IL15,0.0
"NOS2,NOS3",APOBEC3A,0.0
"NOS2,NOS3",APOBEC3A_B,0.0
"NOS2,NOS3",APOBEC3B,0.0
"NOS2,NOS3",APOBEC3C,0.0
"NOS2,NOS3",APOBEC3D,0.0
"NOS2,NOS3",APOBEC3F,0.0
"NOS2,NOS3",APOBEC3G,0.0
"NOS2,NOS3",APOBEC3H,0.0
"NOS2,NOS3",BST2,0.0
"NOS2,NOS3",SAMHD1,0.0
"NOS2,NOS3",TRIM5,0.0
"NOS2,NOS3",IRF5,3.0
"NOS2,NOS3",IRF7,26.0
"NOS2,NOS3",IRF8,-2.0
"NOS2,NOS3",IRF9,27.0
"NOS2,NOS3",IL17D,0.0
"NOS2,NOS3",EIF2AK1,0.0
"NOS2,NOS3",EIF2AK2,0.0
"NOS2,NOS3",EIF2AK3,0.0
"NOS2,NOS3",EIF2AK4,0.0
"NOS2,NOS3",MX1,0.0
"NOS2,NOS3",OAS1,0.0
"NOS2,NOS3",OAS2,0.0
"NOS2,NOS3",OAS3,0.0
"NOS2,NOS3",RSAD2,0.0
"NOS2,NOS3",ADAR,0.0
"NOS2,NOS3",PML,49.0
"NOS2,NOS3",ISG15,0.0
"NOS2,NOS3",JAG1,-1.0
"NOS2,NOS3",AGER,0.0
"NOS2,NOS3",F3,0.0
"NOS2,NOS3",THBD,0.0
"NOS2,NOS3",MMP7,0.0
"NOS2,NOS3",CD44,0.0
"NOS2,NOS3",CD58,0.0
"NOS2,NOS3",ENTPD1,0.0
"NOS2,NOS3",ENTPD3,0.0
"NOS2,NOS3",ENTPD8,0.0
"NOS2,NOS3",FCER2,0.0
"NOS2,NOS3",ITGAL,0.0
"NOS2,NOS3",TNFAIP3,0.0
"NOS2,NOS3",VIM,0.0
"NOS2,NOS3",JUNB,56.0
"NOS2,NOS3",JUND,58.0
"NOS2,NOS3",BGLAP,0.0
"NOS2,NOS3",LRP5,0.0
"NOS2,NOS3",LRP6,0.0
"NOS2,NOS3",JUP,45.0
"NOS2,NOS3",KDM3A,1.0
"NOS2,NOS3",KDM3B,1.0
"NOS2,NOS3",KIR2DL1,-1.0
"NOS2,NOS3",KIR2DL2,-1.0
"NOS2,NOS3",KIR2DL3,-1.0
"NOS2,NOS3",KIR2DL4,-1.0
"NOS2,NOS3",KIR2DL5A,-1.0
"NOS2,NOS3",NOS1,0.0
"NOS2,NOS3",ASS1,0.0
"NOS2,NOS3",GSTA1,0.0
"NOS2,NOS3",GSTA2,0.0
"NOS2,NOS3",GSTA3,0.0
"NOS2,NOS3",GSTA4,0.0
"NOS2,NOS3",GSTA5,0.0
"NOS2,NOS3",GSTM1,0.0
"NOS2,NOS3",GSTM2,0.0
"NOS2,NOS3",GSTM3,0.0
"NOS2,NOS3",GSTM4,0.0
"NOS2,NOS3",GSTM5,0.0
"NOS2,NOS3",GSTO1,0.0
"NOS2,NOS3",GSTO2,0.0
"NOS2,NOS3",GSTP1,0.0
"NOS2,NOS3",GSTT1,0.0
"NOS2,NOS3",GSTT2,0.0
"NOS2,NOS3",GSTT2B,0.0
"NOS2,NOS3",MGST1,0.0
"NOS2,NOS3",MGST2,0.0
"NOS2,NOS3",MGST3,0.0
"NOS2,NOS3",NPPC,0.0
"NOS2,NOS3",NQO1,0.0
"NOS2,NOS3",PLAT,0.0
"NOS2,NOS3",SQSTM1,0.0
"NOS2,NOS3",TXN,0.0
"NOS2,NOS3",TXN2,0.0
"NOS2,NOS3",KLF4,4.0
"NOS2,NOS3",SOX2,3.0
"NOS2,NOS3",KMT2A,2.0
"NOS2,NOS3",KMT2D,2.0
"NOS2,NOS3",LEF1,290.0
"NOS2,NOS3",BIRC5,0.0
"NOS2,NOS3",AXIN1,0.0
"NOS2,NOS3",AXIN2,0.0
"NOS2,NOS3",NKD1,0.0
"NOS2,NOS3",SNAI2,0.0
"NOS2,NOS3",MAFA,8.0
"NOS2,NOS3",MAFB,1.0
"NOS2,NOS3",MAML1,67.0
"NOS2,NOS3",HES2,0.0
"NOS2,NOS3",HES3,0.0
"NOS2,NOS3",HES4,0.0
"NOS2,NOS3",HES6,0.0
"NOS2,NOS3",HES7,0.0
"NOS2,NOS3",MAML2,67.0
"NOS2,NOS3",MAML3,67.0
"NOS2,NOS3",MAPK1,62.0
"NOS2,NOS3",IL18,0.0
"NOS2,NOS3",PLAU,0.0
"NOS2,NOS3",PLAUR,0.0
"NOS2,NOS3",JMJD7-PLA2G4B,0.0
"NOS2,NOS3",PLA2G4A,0.0
"NOS2,NOS3",PLA2G4B,0.0
"NOS2,NOS3",PLA2G4C,0.0
"NOS2,NOS3",PLA2G4D,0.0
"NOS2,NOS3",PLA2G4E,0.0
"NOS2,NOS3",PLA2G4F,0.0
"NOS2,NOS3",MAPK10,10.0
"NOS2,NOS3",MAPK11,21.0
"NOS2,NOS3",IRF4,0.0
"NOS2,NOS3",MAPK12,21.0
"NOS2,NOS3",MAPK13,21.0
"NOS2,NOS3",MAPK14,21.0
"NOS2,NOS3",MAPK3,62.0
"NOS2,NOS3",MAPK7,54.0
"NOS2,NOS3",MAPK8,10.0
"NOS2,NOS3",MAPK9,10.0
"NOS2,NOS3",MAX,3.0
"NOS2,NOS3",CDK6,0.0
"NOS2,NOS3",CKS1B,0.0
"NOS2,NOS3",CKS2,0.0
"NOS2,NOS3",MDM2,-2.0
"NOS2,NOS3",SOST,0.0
"NOS2,NOS3",MEN1,2.0
"NOS2,NOS3",DCT,0.0
"NOS2,NOS3",TYR,0.0
"NOS2,NOS3",TYRP1,0.0
"NOS2,NOS3",MLX,2.0
"NOS2,NOS3",ACACB,0.0
"NOS2,NOS3",MLXIP,2.0
"NOS2,NOS3",MLXIPL,2.0
"NOS2,NOS3",MTOR,17.0
"NOS2,NOS3",TERT,0.0
"NOS2,NOS3",TFAP4,0.0
"NOS2,NOS3",GLS,0.0
"NOS2,NOS3",GLS2,0.0
"NOS2,NOS3",SLC1A5,0.0
"NOS2,NOS3",MYD88,16.0
"NOS2,NOS3",NACA,3.0
"NOS2,NOS3",NANOG,3.0
"NOS2,NOS3",POU5F1,3.0
"NOS2,NOS3",POU5F1B,3.0
"NOS2,NOS3",NCOA1,89.0
"NOS2,NOS3",NCOA2,27.0
"NOS2,NOS3",NCOA3,89.0
"NOS2,NOS3",NEUROD1,3.0
"NOS2,NOS3",GCK,0.0
"NOS2,NOS3",IAPP,0.0
"NOS2,NOS3",NEUROG3,18.0
"NOS2,NOS3",NKX2-2,3.0
"NOS2,NOS3",PAX4,0.0
"NOS2,NOS3",PAX6,10.0
"NOS2,NOS3",MYH7,0.0
"NOS2,NOS3",NPPB,0.0
"NOS2,NOS3",TRPC6,0.0
"NOS2,NOS3",F2R,0.0
"NOS2,NOS3",IL17A,0.0
"NOS2,NOS3",IL17F,0.0
"NOS2,NOS3",IL21,0.0
"NOS2,NOS3",IL22,0.0
"NOS2,NOS3",RCAN1,0.0
"NOS2,NOS3",RGS2,0.0
"NOS2,NOS3",NFATC2,51.0
"NOS2,NOS3",NFATC3,51.0
"NOS2,NOS3",NFATC4,17.0
"NOS2,NOS3",NFE2L2,31.0
"NOS2,NOS3",TXNRD1,0.0
"NOS2,NOS3",TXNRD2,0.0
"NOS2,NOS3",TXNRD3,0.0
"NOS2,NOS3",BCL2L1,0.0
"NOS2,NOS3",TRAF1,0.0
"NOS2,NOS3",TRAF2,0.0
"NOS2,NOS3",TRAF3,0.0
"NOS2,NOS3",TRAF4,0.0
"NOS2,NOS3",TRAF5,0.0
"NOS2,NOS3",TRAF6,0.0
"NOS2,NOS3",AMH,0.0
"NOS2,NOS3",BCL2A1,0.0
"NOS2,NOS3",CFLAR,0.0
"NOS2,NOS3",NFKBIA,0.0
"NOS2,NOS3",MYB,0.0
"NOS2,NOS3",PTPN13,0.0
"NOS2,NOS3",BIRC7,0.0
"NOS2,NOS3",BIRC8,0.0
"NOS2,NOS3",CEBPB,0.0
"NOS2,NOS3",CEBPG,0.0
"NOS2,NOS3",IL15RA,0.0
"NOS2,NOS3",LTA,0.0
"NOS2,NOS3",CCL13,0.0
"NOS2,NOS3",CCL19,0.0
"NOS2,NOS3",CCL21,0.0
"NOS2,NOS3",CXCL12,0.0
"NOS2,NOS3",TNFSF13B,0.0
"NOS2,NOS3",NFX1,134.0
"NOS2,NOS3",NOTCH1,68.0
"NOS2,NOS3",NOTCH2,68.0
"NOS2,NOS3",NOTCH3,68.0
"NOS2,NOS3",NOTCH4,68.0
"NOS2,NOS3",NFYA,15.0
"NOS2,NOS3",NFYB,15.0
"NOS2,NOS3",NFYC,15.0
"NOS2,NOS3",FLT4,0.0
"NOS2,NOS3",NPAS2,16.0
"NOS2,NOS3",NR0B2,6.0
"NOS2,NOS3",CYP7A1,0.0
"NOS2,NOS3",SLC10A1,0.0
"NOS2,NOS3",SLCO1A2,0.0
"NOS2,NOS3",SLCO1B1,0.0
"NOS2,NOS3",SLCO1B3,0.0
"NOS2,NOS3",SLCO1B7,0.0
"NOS2,NOS3",NR1H3,36.0
"NOS2,NOS3",SREBF1,5.0
"NOS2,NOS3",NR1H4,12.0
"NOS2,NOS3",ABCB11,0.0
"NOS2,NOS3",ABCB4,0.0
"NOS2,NOS3",ABCC2,0.0
